last,first,pos,num,blocks,dz_block,nz_block,oz_block,p1_block,p2_block,p3_block,ot_block,5v5_block,ev_block,sh_block,pp_block,block_for_oi,block_for_oi_5v5,shot_blocked,dz_blocked,nz_blocked,oz_blocked,p1_blocked,p2_blocked,p3_blocked,ot_blocked,5v5_blocked,ev_blocked,sh_blocked,pp_blocked,block_against_oi,block_against_oi_5v5,block_wrist,block_slap,block_snap,block_back,block_deflect,block_tip,block_wrap,block_other,blocked_wrist,blocked_slap,blocked_snap,blocked_back,blocked_deflect,blocked_tip,blocked_wrap,blocked_other,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh
SIMON,DOMINIK,C,49,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHINKARUK,HUNTER,C,49,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,18.0,18.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0,22.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASK,VICTOR,C,49,34.0,34.0,0.0,0.0,13.0,11.0,8.0,2.0,27.0,32.0,1.0,1.0,256.0,229.0,60.0,1.0,0.0,59.0,19.0,14.0,25.0,2.0,37.0,41.0,1.0,18.0,341.0,216.0,9.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,28.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,1.0,31.0,1.0,31.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
CLAESSON,FREDRIK,D,49,30.0,29.0,0.0,1.0,7.0,14.0,9.0,0.0,27.0,28.0,2.0,0.0,78.0,69.0,14.0,0.0,0.0,14.0,7.0,3.0,4.0,0.0,14.0,14.0,0.0,0.0,65.0,65.0,19.0,6.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,26.0,1.0,27.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
LEIGHTON,MICHAEL,G,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIPSIC,BRENDAN,L,49,6.0,6.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,16.0,14.0,4.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,4.0,4.0,0.0,0.0,26.0,20.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANGRADI,ERIC,L,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERSCH,MICHAEL,L,49,10.0,10.0,0.0,0.0,3.0,5.0,2.0,0.0,9.0,9.0,1.0,0.0,44.0,41.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,39.0,35.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
GALIEV,STANISLAV,R,49,4.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,41.0,39.0,10.0,0.0,0.0,10.0,2.0,4.0,4.0,0.0,8.0,8.0,0.0,2.0,63.0,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKBLAD,AARON,D,5,59.0,58.0,0.0,1.0,15.0,22.0,21.0,1.0,50.0,54.0,4.0,1.0,256.0,214.0,84.0,1.0,0.0,83.0,22.0,28.0,31.0,3.0,48.0,56.0,2.0,26.0,334.0,215.0,33.0,13.0,8.0,4.0,1.0,0.0,0.0,0.0,32.0,39.0,13.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,54.0,0.0,54.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0
LARSSON,ADAM,D,5,148.0,146.0,1.0,1.0,46.0,56.0,46.0,0.0,104.0,112.0,36.0,0.0,461.0,324.0,51.0,0.0,0.0,51.0,20.0,15.0,15.0,1.0,50.0,51.0,0.0,0.0,239.0,217.0,67.0,30.0,46.0,4.0,0.0,1.0,0.0,0.0,23.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,104.0,0.0,104.0,0.0,112.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,36.0,0.0
JACKMAN,BARRET,D,5,86.0,86.0,0.0,0.0,29.0,40.0,17.0,0.0,75.0,77.0,9.0,0.0,260.0,232.0,37.0,0.0,0.0,37.0,11.0,12.0,14.0,0.0,37.0,37.0,0.0,0.0,238.0,235.0,58.0,18.0,9.0,0.0,0.0,0.0,0.0,1.0,23.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,74.0,1.0,76.0,1.0,76.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0
RUHWEDEL,CHAD,D,5,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
