last,first,pos,num,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
POIRIER,EMILE,R,28,4.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,9.0,9.0,6.0,6.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BJORKSTRAND,OLIVER,R,28,7.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,5.0,5.0,2.0,0.0,39.0,27.0,42.0,39.0,6.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0
NELSON,BROCK,C,29,49.0,0.0,0.0,49.0,19.0,11.0,18.0,1.0,41.0,44.0,5.0,0.0,233.0,188.0,217.0,188.0,42.0,4.0,3.0,27.0,6.0,8.0,0.0,1.0,6.0,0.0,1.0
FERRARO,LANDON,C,29,30.0,0.0,0.0,30.0,7.0,16.0,7.0,0.0,26.0,27.0,0.0,3.0,98.0,92.0,176.0,136.0,28.0,2.0,0.0,15.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0
DRAISAITL,LEON,C,29,43.0,0.0,0.0,43.0,10.0,19.0,13.0,1.0,32.0,33.0,10.0,0.0,277.0,206.0,222.0,198.0,37.0,3.0,3.0,27.0,4.0,2.0,3.0,1.0,6.0,0.0,0.0
MACKINNON,NATHAN,C,29,92.0,0.0,0.0,92.0,36.0,23.0,32.0,1.0,63.0,70.0,21.0,1.0,278.0,188.0,250.0,218.0,76.0,8.0,8.0,50.0,13.0,8.0,11.0,2.0,7.0,0.0,1.0
PEDAN,ANDREY,D,29,6.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,6.0,6.0,0.0,0.0,26.0,26.0,25.0,23.0,5.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
GOLOUBEF,CODY,D,29,22.0,1.0,0.0,21.0,11.0,3.0,8.0,0.0,19.0,19.0,1.0,2.0,107.0,96.0,148.0,128.0,21.0,0.0,1.0,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0
ENGELLAND,DERYK,D,29,29.0,1.0,0.0,28.0,9.0,9.0,11.0,0.0,26.0,26.0,2.0,1.0,167.0,161.0,246.0,207.0,21.0,6.0,2.0,12.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0
MCCABE,JAKE,D,29,32.0,0.0,1.0,31.0,11.0,7.0,14.0,0.0,30.0,32.0,0.0,0.0,232.0,211.0,305.0,252.0,23.0,7.0,2.0,15.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0
VALIEV,RINAT,D,29,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,22.0,22.0,20.0,20.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KOEKKOEK,SLATER,D,29,5.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,17.0,17.0,14.0,14.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
BRENNAN,TJ,D,29,7.0,0.0,0.0,7.0,6.0,0.0,1.0,0.0,7.0,7.0,0.0,0.0,24.0,24.0,19.0,19.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LINDBACK,ANDERS,G,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,129.0,172.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEURY,MARC-ANDRE,G,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,508.0,624.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'CONNOR,MATTHEW,G,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERY,RAY,G,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICKELL,BRYAN,L,29,11.0,0.0,0.0,11.0,3.0,3.0,5.0,0.0,11.0,11.0,0.0,0.0,46.0,45.0,31.0,31.0,11.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0
STEWART,CHRIS,R,29,32.0,0.0,0.0,32.0,11.0,13.0,8.0,0.0,28.0,28.0,4.0,0.0,139.0,116.0,106.0,102.0,26.0,5.0,1.0,14.0,6.0,2.0,3.0,0.0,6.0,0.0,1.0
POMINVILLE,JASON,R,29,49.0,0.0,0.0,49.0,18.0,13.0,18.0,0.0,41.0,43.0,6.0,0.0,268.0,199.0,233.0,218.0,42.0,0.0,7.0,20.0,8.0,7.0,7.0,2.0,5.0,0.0,0.0
HAVLAT,MARTIN,R,29,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COYLE,CHARLIE,C,3,49.0,0.0,0.0,49.0,12.0,14.0,20.0,3.0,34.0,39.0,10.0,0.0,291.0,222.0,264.0,234.0,41.0,5.0,3.0,18.0,0.0,8.0,6.0,9.0,8.0,0.0,0.0
MCNABB,BRAYDEN,D,3,54.0,0.0,0.0,54.0,17.0,23.0,14.0,0.0,53.0,53.0,1.0,0.0,360.0,344.0,262.0,199.0,53.0,1.0,0.0,24.0,25.0,3.0,0.0,0.0,2.0,0.0,0.0
BIGRAS,CHRIS,D,3,14.0,0.0,1.0,13.0,10.0,2.0,2.0,0.0,14.0,14.0,0.0,0.0,71.0,70.0,90.0,83.0,13.0,1.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
STONER,CLAYTON,D,3,16.0,0.0,1.0,15.0,5.0,6.0,5.0,0.0,16.0,16.0,0.0,0.0,134.0,131.0,150.0,122.0,15.0,1.0,0.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
PHANEUF,DION,D,3,61.0,0.0,0.0,61.0,23.0,19.0,18.0,1.0,32.0,37.0,24.0,0.0,299.0,192.0,232.0,190.0,51.0,8.0,2.0,15.0,36.0,8.0,2.0,0.0,0.0,0.0,0.0
