last,first,pos,num,hits,oz_hits,nz_hits,dz_hits,p1_hits,p2_hits,p3_hits,ot_hits,5v5_hits,ev_hits,pp_hits,sh_hits,hits_taken,oz_hits_t,nz_hits_t,dz_hits_t,p1_hits_t,p2_hits_t,p3_hits_t,ot_hits_t,5v5_hits_t,ev_hits_t,pp_hits_t,sh_hits_t,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
CALLAHAN,RYAN,R,24,164.0,138.0,4.0,22.0,78.0,46.0,40.0,0.0,152.0,154.0,2.0,8.0,90.0,15.0,3.0,72.0,28.0,29.0,33.0,0.0,76.0,77.0,10.0,3.0,152.0,0.0,152.0,0.0,154.0,0.0,154.0,0.0,2.0,0.0,2.0,0.0,8.0,0.0,8.0,0.0
HAMILTON,FREDDIE,C,25,8.0,5.0,1.0,2.0,6.0,2.0,0.0,0.0,8.0,8.0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALBOT,MAX,C,25,66.0,51.0,0.0,15.0,27.0,21.0,18.0,0.0,65.0,65.0,0.0,1.0,58.0,11.0,3.0,44.0,18.0,19.0,21.0,0.0,58.0,58.0,0.0,0.0,65.0,0.0,65.0,0.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SANTORELLI,MIKE,C,25,28.0,21.0,1.0,6.0,11.0,10.0,7.0,0.0,28.0,28.0,0.0,0.0,66.0,21.0,1.0,44.0,28.0,22.0,16.0,0.0,64.0,65.0,1.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIGORENKO,MIKHAIL,C,25,23.0,16.0,0.0,7.0,6.0,10.0,7.0,0.0,23.0,23.0,0.0,0.0,73.0,14.0,4.0,55.0,35.0,20.0,17.0,1.0,67.0,69.0,4.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHITE,RYAN,C,25,208.0,156.0,10.0,42.0,74.0,63.0,71.0,0.0,186.0,188.0,10.0,10.0,105.0,28.0,1.0,76.0,41.0,34.0,30.0,0.0,97.0,98.0,6.0,1.0,186.0,0.0,186.0,0.0,188.0,0.0,188.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0
MATTEAU,STEFAN,C,25,39.0,32.0,0.0,7.0,14.0,11.0,14.0,0.0,37.0,37.0,2.0,0.0,17.0,3.0,0.0,14.0,8.0,5.0,4.0,0.0,17.0,17.0,0.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,37.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
KARLSSON,WILLIAM,C,25,40.0,30.0,1.0,9.0,14.0,14.0,10.0,2.0,36.0,38.0,0.0,2.0,73.0,12.0,2.0,59.0,32.0,21.0,20.0,0.0,72.0,72.0,0.0,1.0,36.0,0.0,36.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
COLAIACOVO,CARLO,D,25,36.0,32.0,2.0,2.0,14.0,8.0,14.0,0.0,35.0,36.0,0.0,0.0,32.0,3.0,1.0,28.0,16.0,8.0,8.0,0.0,32.0,32.0,0.0,0.0,35.0,0.0,35.0,0.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUTLER,CHRIS,D,25,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NURSE,DARNELL,D,25,160.0,127.0,4.0,29.0,63.0,51.0,46.0,0.0,155.0,156.0,1.0,3.0,99.0,23.0,3.0,73.0,40.0,29.0,29.0,1.0,95.0,97.0,0.0,2.0,155.0,0.0,155.0,0.0,156.0,0.0,156.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
BRODIN,JONAS,D,25,34.0,28.0,1.0,5.0,16.0,10.0,8.0,0.0,29.0,31.0,0.0,3.0,76.0,12.0,3.0,61.0,35.0,21.0,20.0,0.0,72.0,73.0,0.0,3.0,29.0,0.0,28.0,1.0,31.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
CARLE,MATTHEW,D,25,30.0,21.0,1.0,8.0,12.0,12.0,6.0,0.0,27.0,28.0,0.0,2.0,72.0,14.0,1.0,57.0,24.0,29.0,19.0,0.0,70.0,72.0,0.0,0.0,27.0,0.0,27.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
