last,first,pos,num,pens,oz_pen,nz_pen,dz_pen,nozone_pen,p1_pen,p2_pen,p3_pen,ot_pen,5v5_pen,ev_pen,pp_pen,sh_pen,pen_mins,min_pen,dblmin_pen,maj_pen,mis_pen,gamemis_pen,match_pen,ps_pen,pen_drawn,oz_pen_dr,nz_pen_dr,nozone_pen_dr,dz_pen_dr,p1_pen_dr,p2_pen_dr,p3_pen_dr,ot_pen_dr,5v5_pen_dr,ev_pen_dr,pp_pen_dr,sh_pen_dr,pen_min_dr,min_pen_dr,dblmin_pen_dr,maj_pen_dr,mis_pen_dr,gamemis_pen_dr,match_pen_dr,ps_pen_dr
DATSYUK,PAVEL,C,13,7.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,0.0,7.0,7.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,11.0,1.0,2.0,7.0,5.0,0.0,10.0,13.0,1.0,0.0,28.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
TANEV,BRANDON,L,13,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAUDREAU,JOHNNY,L,13,10.0,1.0,0.0,0.0,9.0,5.0,5.0,0.0,0.0,5.0,8.0,2.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,4.0,21.0,3.0,13.0,10.0,8.0,0.0,21.0,28.0,3.0,0.0,62.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIFFORD,KYLE,L,13,17.0,4.0,1.0,2.0,10.0,10.0,5.0,2.0,0.0,12.0,17.0,0.0,0.0,55.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,1.0,1.0,11.0,3.0,8.0,7.0,1.0,0.0,9.0,16.0,0.0,0.0,53.0,9.0,0.0,7.0,0.0,0.0,0.0,0.0
CAMMALLERI,MICHAEL,L,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMMALLERI,MIKE,L,13,9.0,1.0,0.0,1.0,7.0,1.0,5.0,3.0,0.0,9.0,9.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,2.0,2.0,3.0,0.0,4.0,7.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
PAUL,NICK,L,13,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMIN,ALEXANDER,R,13,6.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,1.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ATKINSON,CAM,R,13,10.0,0.0,0.0,0.0,10.0,3.0,2.0,5.0,0.0,4.0,6.0,2.0,2.0,22.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,11.0,1.0,4.0,3.0,8.0,2.0,12.0,16.0,0.0,1.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
HAYES,KEVIN,R,13,11.0,0.0,0.0,3.0,8.0,5.0,3.0,3.0,0.0,5.0,9.0,2.0,0.0,30.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,0.0,5.0,7.0,1.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
BROWN,MIKE,R,13,9.0,0.0,1.0,3.0,5.0,3.0,5.0,1.0,0.0,4.0,9.0,0.0,0.0,27.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,5.0,0.0,3.0,2.0,4.0,0.0,6.0,9.0,0.0,0.0,27.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0
HENRIQUE,ADAM,C,14,10.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,0.0,8.0,9.0,0.0,1.0,23.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,6.0,7.0,0.0,5.0,7.0,3.0,1.0,8.0,13.0,2.0,1.0,35.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
GREENING,COLIN,C,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYQUIST,GUSTAV,C,14,17.0,1.0,2.0,0.0,14.0,3.0,6.0,6.0,2.0,8.0,15.0,2.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,13.0,0.0,4.0,7.0,3.0,1.0,10.0,15.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
VITALE,JOE,C,14,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
EBERLE,JORDAN,C,14,7.0,0.0,0.0,2.0,5.0,2.0,4.0,1.0,0.0,4.0,7.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,13.0,3.0,8.0,5.0,6.0,0.0,17.0,19.0,0.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
GERBE,NATHAN,C,14,7.0,0.0,2.0,0.0,5.0,3.0,2.0,2.0,0.0,4.0,6.0,1.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,6.0,0.0,4.0,5.0,1.0,0.0,8.0,9.0,1.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
COUTURIER,SEAN,C,14,15.0,1.0,0.0,2.0,12.0,5.0,4.0,4.0,2.0,9.0,14.0,1.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,16.0,1.0,8.0,7.0,2.0,2.0,11.0,17.0,1.0,1.0,41.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0
PLEKANEC,TOMAS,C,14,18.0,1.0,2.0,2.0,13.0,4.0,12.0,2.0,0.0,9.0,15.0,3.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,5.0,10.0,2.0,3.0,10.0,5.0,1.0,8.0,13.0,3.0,3.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
EKHOLM,MATTIAS,D,14,22.0,1.0,1.0,3.0,17.0,5.0,10.0,7.0,0.0,13.0,21.0,1.0,0.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,9.0,1.0,1.0,8.0,2.0,0.0,5.0,11.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
HICKEY,THOMAS,D,14,15.0,0.0,2.0,1.0,12.0,6.0,4.0,5.0,0.0,12.0,15.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,2.0,2.0,5.0,2.0,0.0,7.0,9.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
BURROWS,ALEXANDRE,L,14,22.0,3.0,2.0,4.0,13.0,6.0,9.0,7.0,0.0,7.0,12.0,7.0,3.0,49.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,17.0,3.0,6.0,6.0,11.0,0.0,12.0,16.0,5.0,2.0,49.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0
COMEAU,BLAKE,L,14,25.0,3.0,2.0,1.0,19.0,7.0,7.0,11.0,0.0,15.0,23.0,2.0,0.0,58.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,1.0,13.0,1.0,5.0,7.0,5.0,0.0,12.0,15.0,0.0,2.0,36.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
KUNITZ,CHRIS,L,14,19.0,1.0,1.0,4.0,13.0,4.0,4.0,11.0,0.0,11.0,16.0,3.0,0.0,41.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,9.0,6.0,3.0,9.0,6.0,0.0,14.0,18.0,0.0,0.0,39.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0
BENN,JAMIE,L,14,28.0,4.0,4.0,1.0,19.0,13.0,5.0,9.0,1.0,16.0,25.0,2.0,1.0,64.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,4.0,1.0,23.0,5.0,14.0,11.0,8.0,0.0,19.0,27.0,1.0,5.0,74.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0
PELUSO,ANTHONY,R,14,16.0,5.0,1.0,2.0,8.0,8.0,5.0,3.0,0.0,11.0,16.0,0.0,0.0,44.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,3.0,5.0,2.0,0.0,0.0,5.0,7.0,0.0,0.0,26.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
CONNOLLY,BRETT,R,14,10.0,0.0,2.0,3.0,5.0,3.0,6.0,1.0,0.0,7.0,9.0,1.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,7.0,2.0,5.0,4.0,1.0,0.0,8.0,10.0,0.0,0.0,24.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
FONTAINE,JUSTIN,R,14,10.0,4.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,8.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,7.0,1.0,2.0,5.0,3.0,0.0,9.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
WILLIAMS,JUSTIN,R,14,18.0,1.0,1.0,1.0,15.0,10.0,5.0,3.0,0.0,16.0,18.0,0.0,0.0,36.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,10.0,1.0,4.0,6.0,2.0,0.0,9.0,11.0,0.0,1.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
PANIK,RICHARD,R,14,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,4.0,1.0,1.0,3.0,3.0,0.0,5.0,7.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
TIKHONOV,VIKTOR,R,14,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,3.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
